Layer,Name,GEOID,CHAKUCW_2017
,,,"Tree Canopy (% tree canopy), 2017"
Community area,Rogers Park,1,27.4
Community area,Norwood Park,10,22.9
Community area,Jefferson Park,11,22.5
Community area,Forest Glen,12,44.2
Community area,North Park,13,33.0
Community area,Albany Park,14,23.8
Community area,Portage Park,15,19.4
Community area,Irving Park,16,24.8
Community area,Dunning,17,18.8
Community area,Montclare,18,18.6
Community area,Belmont Cragin,19,15.2
Community area,West Ridge,2,26.0
Community area,Hermosa,20,17.0
Community area,Avondale,21,16.1
Community area,Logan Square,22,19.9
Community area,Humboldt Park,23,16.5
Community area,West Town,24,19.5
Community area,Austin,25,19.0
Community area,West Garfield Park,26,17.9
Community area,East Garfield Park,27,18.4
Community area,Near West Side,28,14.6
Community area,North Lawndale,29,17.7
Community area,Uptown,3,23.5
Community area,South Lawndale,30,14.9
Community area,Lower West Side,31,10.6
Community area,Loop,32,17.8
Community area,Near South Side,33,13.8
Community area,Armour Square,34,13.1
Community area,Douglas,35,21.6
Community area,Oakland,36,18.0
Community area,Fuller Park,37,12.3
Community area,Grand Boulevard,38,16.9
Community area,Kenwood,39,28.0
Community area,Lincoln Square,4,28.3
Community area,Washington Park,40,21.9
Community area,Hyde Park,41,27.5
Community area,Woodlawn,42,22.1
Community area,South Shore,43,23.1
Community area,Chatham,44,20.1
Community area,Avalon Park,45,22.0
Community area,South Chicago,46,19.3
Community area,Burnside,47,23.7
Community area,Calumet Heights,48,20.4
Community area,Roseland,49,22.3
Community area,North Center,5,24.3
Community area,Pullman,50,19.3
Community area,South Deering,51,14.1
Community area,East Side,52,15.8
Community area,West Pullman,53,26.0
Community area,Riverdale,54,24.7
Community area,Hegewisch,55,18.5
Community area,Garfield Ridge,56,12.0
Community area,Archer Heights,57,8.3
Community area,Brighton Park,58,12.0
Community area,McKinley Park,59,15.0
Community area,Lake View,6,23.6
Community area,Bridgeport,60,13.0
Community area,New City,61,15.6
Community area,West Elsdon,62,12.7
Community area,Gage Park,63,14.6
Community area,Clearing,64,8.8
Community area,West Lawn,65,10.7
Community area,Chicago Lawn,66,18.5
Community area,West Englewood,67,25.9
Community area,Englewood,68,24.7
Community area,Greater Grand Crossing,69,21.4
Community area,Lincoln Park,7,26.3
Community area,Ashburn,70,15.3
Community area,Auburn Gresham,71,18.7
Community area,Beverly,72,40.5
Community area,Washington Heights,73,21.4
Community area,Mount Greenwood,74,18.6
Community area,Morgan Park,75,28.1
Community area,Edgewater,77,26.3
Community area,Near North Side,8,17.8
Community area,Edison Park,9,23.4
